sample,block_index,cell_id,family,n,dtype_name,method,common_n,finite_r2_n,finite_rinf_n,r2u_q50,r2u_q95,rinfu_q50,rinfu_q95
S6,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float32,R0_C1,2000,2000,2000,0.9194132817216025,1.6109373137448206,0.3788940082000074,0.7869111957830207
S5,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float32,R0_C2,2000,2000,2000,0.9085485158993427,1.590286065083106,0.3748979058306122,0.7660661203663551
S6,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float32,R0_C2,2000,2000,2000,0.9085485158993427,1.590286065083106,0.3748979058306122,0.7660661203663551
S5,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float32,R1_C1,2000,2000,2000,0.9106977804655237,1.5314177585092859,0.3827810005818027,0.7564622683995519
S6,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float32,R1_C1,2000,2000,2000,0.9106977804655237,1.5314177585092859,0.3827810005818027,0.7564622683995519
S5,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float32,R2_C2,2000,2000,2000,0.9128373523252477,1.5519236425735141,0.38735031718563895,0.7806359026250447
S6,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float32,R2_C2,2000,2000,2000,0.9128373523252477,1.5519236425735141,0.38735031718563895,0.7806359026250447
S6,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float32,LAPACK_xGETRF_xGETRI,2000,2000,2000,1.1073534694831284,1.8272855262443457,0.4597580014149134,0.8668553267052952
S5,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float64,R0_C0,2000,2000,2000,3.094061064823589,36.8373586630058,1.464570785243167,20.611336736432946
S6,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float64,R0_C0,2000,2000,2000,3.094061064823589,36.8373586630058,1.464570785243167,20.611336736432946
S5,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float64,R0_C1,2000,2000,2000,0.967755239884903,1.6285044684783436,0.38328362577612207,0.7732277580107988
S6,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float64,R0_C1,2000,2000,2000,0.967755239884903,1.6285044684783436,0.38328362577612207,0.7732277580107988
S5,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float64,R0_C2,2000,2000,2000,0.9696882921691862,1.6273012436389769,0.3865819496349842,0.7780026681199155
S6,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float64,R0_C2,2000,2000,2000,0.9696882921691862,1.6273012436389769,0.3865819496349842,0.7780026681199155
S5,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float64,R1_C1,2000,2000,2000,0.9635307049876978,1.5657755060606662,0.39150787731743064,0.7683481960417349
S6,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float64,R1_C1,2000,2000,2000,0.9635307049876978,1.5657755060606662,0.39150787731743064,0.7683481960417349
S5,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float64,R2_C2,2000,2000,2000,0.9804419582122434,1.6301530203940078,0.3984954027316685,0.8094722282660055
S6,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float64,R2_C2,2000,2000,2000,0.9804419582122434,1.6301530203940078,0.3984954027316685,0.8094722282660055
S6,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float64,LAPACK_xGETRF_xGETRI,2000,2000,2000,1.1349689818192985,1.9161935100975758,0.48098125549660564,0.9413152836874754
S5,5,random_conditioned:24db10624cd06023,random_conditioned,8,float32,R0_C0,2000,2000,2000,2.846037315108017,31.938959530726578,1.3530482489283093,16.120801308011323
S6,5,random_conditioned:24db10624cd06023,random_conditioned,8,float32,R0_C0,2000,2000,2000,2.846037315108017,31.938959530726578,1.3530482489283093,16.120801308011323
S5,5,random_conditioned:24db10624cd06023,random_conditioned,8,float32,R0_C1,2000,2000,2000,0.6911564999554396,1.1972743203418634,0.32743066110309604,0.5906067786510757
S6,5,random_conditioned:24db10624cd06023,random_conditioned,8,float32,R0_C1,2000,2000,2000,0.6911564999554396,1.1972743203418634,0.32743066110309604,0.5906067786510757
S5,5,random_conditioned:24db10624cd06023,random_conditioned,8,float32,R0_C2,2000,2000,2000,0.6638058267482252,1.125269635439783,0.3114874737727925,0.5499598463205003
S6,5,random_conditioned:24db10624cd06023,random_conditioned,8,float32,R0_C2,2000,2000,2000,0.6638058267482252,1.125269635439783,0.3114874737727925,0.5499598463205003
S5,5,random_conditioned:24db10624cd06023,random_conditioned,8,float32,R1_C1,2000,2000,2000,0.6876020924490289,1.0876959563402828,0.33576934208683085,0.5761884927728549
S6,5,random_conditioned:24db10624cd06023,random_conditioned,8,float32,R1_C1,2000,2000,2000,0.6876020924490289,1.0876959563402828,0.33576934208683085,0.5761884927728549
S5,5,random_conditioned:24db10624cd06023,random_conditioned,8,float32,R2_C2,2000,2000,2000,0.6137290091304521,0.9920313015403568,0.2938248814297696,0.5155168856326201
S6,5,random_conditioned:24db10624cd06023,random_conditioned,8,float32,R2_C2,2000,2000,2000,0.6137290091304521,0.9920313015403568,0.2938248814297696,0.5155168856326201
S6,5,random_conditioned:24db10624cd06023,random_conditioned,8,float32,LAPACK_xGETRF_xGETRI,2000,2000,2000,1.355510895331396,5.113929200013142,0.5921087969363513,2.1860554280631397
S5,5,random_conditioned:24db10624cd06023,random_conditioned,8,float64,R0_C0,2000,2000,2000,2.822015901698756,33.88280848232731,1.3317785429509228,15.167575701967468
S6,5,random_conditioned:24db10624cd06023,random_conditioned,8,float64,R0_C0,2000,2000,2000,2.822015901698756,33.88280848232731,1.3317785429509228,15.167575701967468
S5,5,random_conditioned:24db10624cd06023,random_conditioned,8,float64,R0_C1,2000,2000,2000,0.7656069564357617,1.3155388661074445,0.36981424243468336,0.6426156491518598
S6,5,random_conditioned:24db10624cd06023,random_conditioned,8,float64,R0_C1,2000,2000,2000,0.7656069564357617,1.3155388661074445,0.36981424243468336,0.6426156491518598
S5,5,random_conditioned:24db10624cd06023,random_conditioned,8,float64,R0_C2,2000,2000,2000,0.7397087260658578,1.2461951203636026,0.36113274250502664,0.6167542430317718
S6,5,random_conditioned:24db10624cd06023,random_conditioned,8,float64,R0_C2,2000,2000,2000,0.7397087260658578,1.2461951203636026,0.36113274250502664,0.6167542430317718
S5,5,random_conditioned:24db10624cd06023,random_conditioned,8,float64,R1_C1,2000,2000,2000,0.7597182329889618,1.1623385034056772,0.3759572676285413,0.6140807081660197
S6,5,random_conditioned:24db10624cd06023,random_conditioned,8,float64,R1_C1,2000,2000,2000,0.7597182329889618,1.1623385034056772,0.3759572676285413,0.6140807081660197
S5,5,random_conditioned:24db10624cd06023,random_conditioned,8,float64,R2_C2,2000,2000,2000,0.6997986788171511,1.1197716793829644,0.34590548980611285,0.5954837995378283
S6,5,random_conditioned:24db10624cd06023,random_conditioned,8,float64,R2_C2,2000,2000,2000,0.6997986788171511,1.1197716793829644,0.34590548980611285,0.5954837995378283
S6,5,random_conditioned:24db10624cd06023,random_conditioned,8,float64,LAPACK_xGETRF_xGETRI,2000,2000,2000,1.3479708661296734,5.012568784904027,0.6113585636678798,2.196024811749034
S5,6,random_conditioned:ede4f08ad80ec7c0,random_conditioned,8,float32,R0_C0,2000,2000,2000,0.7510512372440284,8.03112254920153,0.5734478038050319,6.557966717806843
S6,6,random_conditioned:ede4f08ad80ec7c0,random_conditioned,8,float32,R0_C0,2000,2000,2000,0.7510512372440284,8.03112254920153,0.5734478038050319,6.557966717806843
S5,6,random_conditioned:ede4f08ad80ec7c0,random_conditioned,8,float32,R0_C1,2000,2000,2000,0.27421334331756075,0.5943660124193489,0.19962875935462582,0.5089543569400489
S6,6,random_conditioned:ede4f08ad80ec7c0,random_conditioned,8,float32,R0_C1,2000,2000,2000,0.27421334331756075,0.5943660124193489,0.19962875935462582,0.5089543569400489
S5,6,random_conditioned:ede4f08ad80ec7c0,random_conditioned,8,float32,R0_C2,2000,2000,2000,0.25924485331117475,0.5721288091189323,0.18619947038464038,0.4583580177504826
S6,6,random_conditioned:ede4f08ad80ec7c0,random_conditioned,8,float32,R0_C2,2000,2000,2000,0.25924485331117475,0.5721288091189323,0.18619947038464038,0.4583580177504826
S5,6,random_conditioned:ede4f08ad80ec7c0,random_conditioned,8,float32,R1_C1,2000,2000,2000,0.27099931620307316,0.6191118502864946,0.19813714159366116,0.49652063921413164
S6,6,random_conditioned:ede4f08ad80ec7c0,random_conditioned,8,float32,R1_C1,2000,2000,2000,0.27099931620307316,0.6191118502864946,0.19813714159366116,0.49652063921413164
S5,6,random_conditioned:ede4f08ad80ec7c0,random_conditioned,8,float32,R2_C2,2000,2000,2000,0.23873444550990797,0.4933760632125635,0.17262167475858073,0.40579271701109904
S6,6,random_conditioned:ede4f08ad80ec7c0,random_conditioned,8,float32,R2_C2,2000,2000,2000,0.23873444550990797,0.4933760632125635,0.17262167475858073,0.40579271701109904
S6,6,random_conditioned:ede4f08ad80ec7c0,random_conditioned,8,float32,LAPACK_xGETRF_xGETRI,2000,2000,2000,0.5036518792026018,2.097996672357956,0.3510538000665947,1.4744975937786275
S5,6,random_conditioned:ede4f08ad80ec7c0,random_conditioned,8,float64,R0_C0,2000,2000,2000,0.7493740349211954,8.16693917554416,0.580443360561439,6.734079963085881
S6,6,random_conditioned:ede4f08ad80ec7c0,random_conditioned,8,float64,R0_C0,2000,2000,2000,0.7493740349211954,8.16693917554416,0.580443360561439,6.734079963085881
S5,6,random_conditioned:ede4f08ad80ec7c0,random_conditioned,8,float64,R0_C1,2000,2000,2000,0.3074717064932993,0.6374914690562967,0.22344487636133614,0.5043936144013205
