cell_id,family,method,dtype_name,s,ci_low,ci_high,bootstrap_bias,quadratic_curvature,curvature_sign,delta_aic_quadratic_minus_power,quadratic_preferred
row_diagonal_dominant_stochastic:021519ee0a19df7c,row_diagonal_dominant_stochastic,R1_C1,float32,0.5808596785023932,0.576465954893957,0.5849654357020322,-0.00016787577446286672,-0.004181349397882028,concave,-2.0573585272165644,True
row_diagonal_dominant_stochastic:021519ee0a19df7c,row_diagonal_dominant_stochastic,R1_C1,float64,0.5772751734326412,0.5720752799159019,0.5812902077428224,-0.0006575484867342718,-0.01375501808019758,concave,-6.2740437405316385,True
row_diagonal_dominant_stochastic:021519ee0a19df7c,row_diagonal_dominant_stochastic,R2_C2,float32,0.5769564213795791,0.5729396329476667,0.5805327110936302,-0.00032674870065174666,-0.006396158094528123,concave,-9.801098892422019,True
row_diagonal_dominant_stochastic:021519ee0a19df7c,row_diagonal_dominant_stochastic,R2_C2,float64,0.5770874040382995,0.5714115254355154,0.5804638328585934,-0.0006264781613221082,-0.014734984886580444,concave,-6.906580212686322,True
row_diagonal_dominant_stochastic:0530909e2322226a,row_diagonal_dominant_stochastic,R0_C0,float32,0.1963455151354747,0.19283730094128174,0.2004131793620102,0.00022496766153212722,0.026256446397396632,convex,-10.13009631504329,True
row_diagonal_dominant_stochastic:0530909e2322226a,row_diagonal_dominant_stochastic,R0_C0,float64,0.3525525674510153,0.3486343467911786,0.356818924610118,0.0001172842097125204,0.06301137254518807,convex,-33.25275843768797,True
row_diagonal_dominant_stochastic:0530909e2322226a,row_diagonal_dominant_stochastic,R0_C1,float32,0.1963455151354747,0.19283730094128174,0.2004131793620102,0.00022496766153212722,0.026256446397396632,convex,-10.13009631504329,True
row_diagonal_dominant_stochastic:0530909e2322226a,row_diagonal_dominant_stochastic,R0_C1,float64,0.3525525674510153,0.3486343467911786,0.356818924610118,0.0001172842097125204,0.06301137254518807,convex,-33.25275843768797,True
row_diagonal_dominant_stochastic:0530909e2322226a,row_diagonal_dominant_stochastic,R0_C2,float32,0.1963455151354747,0.19283730094128174,0.2004131793620102,0.00022496766153212722,0.026256446397396632,convex,-10.13009631504329,True
row_diagonal_dominant_stochastic:0530909e2322226a,row_diagonal_dominant_stochastic,R0_C2,float64,0.3525525674510153,0.3486343467911786,0.356818924610118,0.0001172842097125204,0.06301137254518807,convex,-33.25275843768797,True
row_diagonal_dominant_stochastic:0530909e2322226a,row_diagonal_dominant_stochastic,R1_C1,float32,0.6559901665973896,0.6508442222295348,0.6604091214123177,-0.0001654580982667353,-0.02177343591263402,concave,-3.5072421378580856,True
